chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\renderer\category\doc-files,doc-files,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\renderer\category,category,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\renderer\xy\doc-files,doc-files,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\renderer\xy,xy,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\renderer,renderer,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart,chart,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree,jfree,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org,org,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc,javadoc,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org\jfree\chart\editor,editor,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org\jfree\chart\plot,plot,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org\jfree\chart\ui,ui,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org\jfree\chart,chart,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org\jfree,jfree,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources\org,org,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\resources,resources,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main,main,192107,100389,0.52256817,21385,2.4436202E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\annotations,annotations,2039,833,0.4085336,119,0.0034330555
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\api,api,87,41,0.47126436,1,0.47126436
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\axis,axis,5091,1890,0.37124336,222,0.0016722673
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\block,block,2012,757,0.37624255,68,0.0055329786
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\entity,entity,809,379,0.4684796,24,0.019519983
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\imagemap,imagemap,350,230,0.6571429,10,0.065714285
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\internal,internal,541,264,0.48798522,24,0.020332718
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\labels,labels,2503,1133,0.4526568,158,0.0028649166
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\legend,legend,485,180,0.371134,19,0.01953337
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\plot\compass,compass,885,518,0.58531076,31,0.018880991
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\plot\dial,dial,1739,733,0.4215066,56,0.007526904
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\plot\flow,flow,242,62,0.25619835,15,0.01707989
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\plot\pie,pie,875,240,0.2742857,31,0.008847926
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\plot,plot,10122,3421,0.3379767,391,8.643905E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\renderer\category,category,3796,1431,0.37697577,253,0.0014900229
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy,xy,4854,1836,0.37824476,224,0.0016885927
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\renderer,renderer,10308,3840,0.3725262,539,6.911432E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\swing,swing,417,161,0.3860911,22,0.017549597
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\text\format,format,347,152,0.43804035,13,0.03369541
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\text,text,347,152,0.43804035,13,0.03369541
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\title,title,675,371,0.5496296,26,0.021139601
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart\urls,urls,788,371,0.47081217,28,0.01681472
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\chart,chart,40404,15559,0.38508564,1857,2.0736975E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\category,category,1196,349,0.291806,78,0.0037411028
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\flow,flow,282,155,0.54964536,12,0.04580378
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\function,function,388,212,0.5463917,19,0.028757459
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\gantt,gantt,1078,348,0.32282004,61,0.0052921316
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\general,general,2537,887,0.34962553,170,0.0020566208
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\statistics,statistics,2311,834,0.36088273,113,0.0031936525
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\time\ohlc,ohlc,668,267,0.3997006,33,0.01211214
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\time,time,7822,2449,0.31309128,542,5.776592E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy,xy,5966,2270,0.38048944,296,0.0012854373
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data,data,24435,8492,0.34753427,1457,2.385273E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org\jfree,jfree,64839,24051,0.37093416,3314,1.1192944E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java\org,org,64839,24051,0.37093416,3314,1.1192944E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test\java,java,64839,24051,0.37093416,3314,1.1192944E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\test,test,64839,24051,0.37093416,3314,1.1192944E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src,src,256946,124440,0.4843041,24699,1.9608247E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\svg\js\src,src,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\svg\js,js,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\svg\lib,lib,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\svg,svg,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master,jfreechart-master,256946,124440,0.4843041,24699,1.9608247E-5
